ticker,news_model,target_column,rmse,mae,corr,rse,mape,msle
AAPL,deberta,Delta_Price,0.30276892,0.2547668,-0.054131479464257594,2.267938,inf,0.0389904
AAPL,deberta,Factor_Price,0.39678776,0.36315858,-0.05770857106980057,3.9722762,1.1370714,0.06395267
AAPL,deberta,Float_Price,0.43335688,0.4126577,0.4172970734829989,5.580965,0.5174678,0.079096176
AAPL,finbert,Delta_Price,0.26862794,0.21538922,0.023073554720461003,2.0121994,inf,0.03139706
AAPL,finbert,Factor_Price,0.30168784,0.25966522,-0.017406299835929714,3.0202227,0.83096325,0.03908261
AAPL,finbert,Float_Price,0.46035278,0.45132113,0.5674765579445353,5.92863,0.5663721,0.088642664
AAPL,lr,Delta_Price,0.3374033,0.2888066,-0.17348353492759475,2.527372,inf,0.047365427
AAPL,lr,Factor_Price,0.38592875,0.3549568,-0.12948825889882723,3.8635657,1.1092169,0.061427128
AAPL,lr,Float_Price,0.39249238,0.36975923,0.536182056156849,5.054693,0.46602392,0.063223004
AAPL,rf,Delta_Price,0.32240558,0.27861086,-0.10692464859456112,2.4150293,inf,0.043941922
AAPL,rf,Factor_Price,0.39220592,0.35987872,-0.18500823328484647,3.9264069,1.127777,0.06324895
AAPL,rf,Float_Price,0.38644326,0.35880494,0.5268518807951346,4.97679,0.45286575,0.061727013
AAPL,roberta,Delta_Price,0.29283202,0.23223509,-0.07062848803187124,2.1935039,inf,0.036076818
AAPL,roberta,Factor_Price,0.32874534,0.28240624,-0.03787472837997026,3.2910974,0.9127573,0.04539545
AAPL,roberta,Float_Price,0.4903289,0.47948217,0.4708986596157848,6.314676,0.6004625,0.10310713
AAPL,svm,Delta_Price,0.34547743,0.2963351,-0.12067770242908858,2.5878525,inf,0.049088717
AAPL,svm,Factor_Price,0.3760995,0.3382922,-0.1267171349302734,3.7651641,1.0644634,0.05836372
AAPL,svm,Float_Price,0.4091645,0.37932947,0.4695287769315377,5.2694044,0.47781244,0.07066709
AMZN,deberta,Delta_Price,0.18399462,0.15108621,-0.12168786635719236,1.6242281,0.28161716,0.012670185
AMZN,deberta,Factor_Price,0.27545887,0.24716784,-0.1325005617272289,3.9678137,0.48551673,0.027365878
AMZN,deberta,Float_Price,0.42605072,0.40187967,0.30387737153691374,3.698401,0.5133128,0.0755414
AMZN,finbert,Delta_Price,0.1559141,0.11923705,0.006081639399268134,1.3763449,0.21425955,0.009254546
AMZN,finbert,Factor_Price,0.16464838,0.13499515,-0.07964485380997853,2.3716576,0.26448068,0.010409683
AMZN,finbert,Float_Price,0.4701101,0.45093966,0.1392315953031371,4.0808654,0.57298875,0.092463166
AMZN,lr,Delta_Price,0.19134586,0.15409034,-0.06405836253098302,1.6891218,0.28768396,0.0134174535
AMZN,lr,Factor_Price,0.24231929,0.21713501,-0.07298562038201645,3.4904587,0.4266917,0.021569103
AMZN,lr,Float_Price,0.36674014,0.3449842,0.31831206149920604,3.183546,0.43785602,0.052691963
AMZN,rf,Delta_Price,0.19019191,0.15393929,-0.09993924407525964,1.6789353,0.2862847,0.013226673
AMZN,rf,Factor_Price,0.25783625,0.22897014,-0.014623148914991026,3.713971,0.44946396,0.024043608
AMZN,rf,Float_Price,0.3368655,0.30832657,0.3304402155710204,2.9242148,0.39184022,0.044387236
AMZN,roberta,Delta_Price,0.15283577,0.12026279,-0.10950352402085921,1.3491708,0.20990501,0.009052499
AMZN,roberta,Factor_Price,0.15299654,0.12664226,-0.14131722132973695,2.20382,0.24921374,0.009222132
AMZN,roberta,Float_Price,0.47350222,0.45001405,0.04421740727622613,4.1103115,0.5698304,0.09439885
AMZN,svm,Delta_Price,0.19377822,0.16011691,-0.09472619328416548,1.7105937,0.29671612,0.013829847
AMZN,svm,Factor_Price,0.22913894,0.20320421,-0.06152434015708943,3.300604,0.39930907,0.019443557
AMZN,svm,Float_Price,0.35389128,0.32891965,0.37829906044499584,3.0720098,0.41848397,0.04936396
MSFT,deberta,Delta_Price,0.53700364,0.502534,-0.04807744936024758,4.6490326,1.1217124,0.094267316
MSFT,deberta,Factor_Price,0.6238317,0.5978837,-0.09334506496057095,8.214995,1.2581047,0.120545305
MSFT,deberta,Float_Price,0.22224918,0.18162324,0.6101591587545634,1.7840908,0.24582824,0.0197157
MSFT,finbert,Delta_Price,0.5582807,0.5121285,-0.07444283323566045,4.8332357,1.1437056,0.099478886
MSFT,finbert,Factor_Price,0.5684561,0.5291818,-0.10741181947298724,7.485776,1.1190647,0.10167088
MSFT,finbert,Float_Price,0.24069457,0.20483594,0.5185828022679514,1.9321599,0.26047394,0.021468325
MSFT,lr,Delta_Price,0.5571521,0.5225893,-0.15231295153297184,4.823465,1.1676357,0.10053142
MSFT,lr,Factor_Price,0.57323074,0.5480909,-0.11663554430801346,7.548651,1.155991,0.104580455
MSFT,lr,Float_Price,0.2034964,0.17184266,0.6388619309830474,1.633554,0.22274819,0.015261736
MSFT,rf,Delta_Price,0.5828348,0.5496227,-0.14932185790843552,5.0458093,1.2181597,0.10838194
MSFT,rf,Factor_Price,0.6244891,0.6010638,-0.13534046729284865,8.223653,1.26562,0.12101912
MSFT,rf,Float_Price,0.15373449,0.12428377,0.5438857572848965,1.2340935,0.15788276,0.008074733
MSFT,roberta,Delta_Price,0.598181,0.531167,-0.03247611892996346,5.178667,1.1802143,0.10897994
MSFT,roberta,Factor_Price,0.6158709,0.56546134,-0.04479111091194945,8.110163,1.1900009,0.11468795
MSFT,roberta,Float_Price,0.19225995,0.15838729,0.6899706148604414,1.5433542,0.20819625,0.013945182
MSFT,svm,Delta_Price,0.5849574,0.55646753,-0.059739106640029786,5.064185,1.2286114,0.1092138
MSFT,svm,Factor_Price,0.60104215,0.5748448,-0.04013044442412657,7.914889,1.2064044,0.11274006
MSFT,svm,Float_Price,0.15052773,0.12643535,0.664508765021602,1.2083515,0.166991,0.008019834
NFLX,deberta,Delta_Price,0.12314464,0.09885741,0.19084405972891177,1.9252694,0.13880347,0.005616319
NFLX,deberta,Factor_Price,0.10183629,0.07808874,0.19772933994309022,1.9424216,0.11123137,0.003711909
NFLX,deberta,Float_Price,0.42525503,0.41015685,0.6172649647954531,3.0222418,0.5594683,0.07737329
NFLX,finbert,Delta_Price,0.15558086,0.11454328,0.07990476551433558,2.4323843,0.16099747,0.009386101
NFLX,finbert,Factor_Price,0.14408337,0.11067581,0.20550190894058346,2.7482407,0.15948924,0.007866689
NFLX,finbert,Float_Price,0.50142044,0.4891969,0.6455645437609384,3.563541,0.6642132,0.111911885
NFLX,lr,Delta_Price,0.11970517,0.096499674,0.08321957518314403,1.8714958,0.13678718,0.004949571
NFLX,lr,Factor_Price,0.11121617,0.08253116,0.06468345295719605,2.1213331,0.1175995,0.0042176344
NFLX,lr,Float_Price,0.4382345,0.42422336,0.650379385197893,3.1144855,0.58196986,0.08338673
NFLX,rf,Delta_Price,0.107397474,0.081553355,0.08099540426798141,1.6790746,0.115613215,0.004020974
NFLX,rf,Factor_Price,0.12557401,0.0986963,0.12645893770317787,2.3951938,0.14216517,0.0054468657
NFLX,rf,Float_Price,0.40573928,0.38430732,0.5275793565177354,2.8835454,0.52694887,0.06965695
NFLX,roberta,Delta_Price,0.16274291,0.1235668,-0.12052952230862106,2.544357,0.17139834,0.010035049
NFLX,roberta,Factor_Price,0.1566454,0.12515648,-0.034645017595179135,2.9878485,0.17744106,0.009336142
NFLX,roberta,Float_Price,0.4723496,0.4555138,0.46403574903204997,3.356938,0.61503166,0.0969229
NFLX,svm,Delta_Price,0.11903126,0.095344774,0.15157414042825312,1.8609599,0.136855,0.0047040503
NFLX,svm,Factor_Price,0.10075434,0.08220267,0.2090975668493951,1.9217845,0.11809086,0.0035171772
NFLX,svm,Float_Price,0.41336927,0.39364704,0.6034501796285969,2.9377708,0.5431246,0.0741103
TSLA,deberta,Delta_Price,0.27679422,0.22880316,-0.17433336509333056,2.9050093,0.44525984,0.026363982
TSLA,deberta,Factor_Price,0.37177163,0.32978565,-0.09790694964931074,2.9763105,2.6141207,0.051059272
TSLA,deberta,Float_Price,0.11884147,0.09992163,0.685198279705873,1.3947644,0.24940045,0.0070216684
TSLA,finbert,Delta_Price,0.3559271,0.31224295,-0.2163452719841211,3.735524,0.59250003,0.04150785
TSLA,finbert,Factor_Price,0.40537006,0.3546345,-0.1911534442558171,3.2452912,3.0759127,0.058866907
TSLA,finbert,Float_Price,0.15566316,0.10985152,0.324712655570173,1.8269165,0.28082427,0.011019348
TSLA,lr,Delta_Price,0.2612563,0.23114638,0.021585137651878285,2.7419357,0.44156158,0.02419815
TSLA,lr,Factor_Price,0.3486399,0.3084572,-0.04819662884653842,2.7911236,2.7473035,0.045819495
TSLA,lr,Float_Price,0.118694216,0.10368631,0.7210957303270614,1.3930361,0.24904087,0.0066839918
TSLA,rf,Delta_Price,0.27677137,0.24535726,-0.02775405262045582,2.904769,0.46842352,0.026802896
TSLA,rf,Factor_Price,0.37107402,0.32771578,-0.13391527272351972,2.9707255,2.7447312,0.050942115
TSLA,rf,Float_Price,0.15381758,0.12122213,0.7375407629968135,1.8052559,0.28261155,0.00988832
TSLA,roberta,Delta_Price,0.1891239,0.14912048,-0.15509548435544052,1.9848919,0.2861082,0.013196475
TSLA,roberta,Factor_Price,0.23968703,0.19616081,-0.13252745694303136,1.9188741,1.8684475,0.02362907
TSLA,roberta,Float_Price,0.1176948,0.10565609,0.7299073543939915,1.3813068,0.2621691,0.007600003
TSLA,svm,Delta_Price,0.24772346,0.2123137,0.04088340216866074,2.5999055,0.40868357,0.02190559
TSLA,svm,Factor_Price,0.30926892,0.26527834,-0.15063177947272155,2.4759293,2.6561623,0.037329048
TSLA,svm,Float_Price,0.11144761,0.095340565,0.7902634780511055,1.3079876,0.23731983,0.0064932657
